OBJECTID,TRACT00,TOOLTIP
1,101210,Census Tract: 101210
2,104103,Census Tract: 104103
3,104104,Census Tract: 104104
4,104105,Census Tract: 104105
5,104106,Census Tract: 104106
6,104201,Census Tract: 104201
7,104202,Census Tract: 104202
8,104310,Census Tract: 104310
9,104320,Census Tract: 104320
10,104401,Census Tract: 104401
11,104402,Census Tract: 104402
12,104500,Census Tract: 104500
13,104610,Census Tract: 104610
14,104620,Census Tract: 104620
15,104701,Census Tract: 104701
16,104702,Census Tract: 104702
17,104810,Census Tract: 104810
18,104820,Census Tract: 104820
19,106010,Census Tract: 106010
20,106020,Census Tract: 106020
21,106112,Census Tract: 106112
22,106113,Census Tract: 106113
23,106114,Census Tract: 106114
24,106403,Census Tract: 106403
25,106404,Census Tract: 106404
26,106520,Census Tract: 106520
27,106604,Census Tract: 106604
28,106605,Census Tract: 106605
29,107010,Census Tract: 107010
30,107020,Census Tract: 107020
31,109100,Census Tract: 109100
32,109500,Census Tract: 109500
33,109800,Census Tract: 109800
34,113233,Census Tract: 113233
35,113234,Census Tract: 113234
36,113421,Census Tract: 113421
37,115302,Census Tract: 115302
38,115401,Census Tract: 115401
39,115402,Census Tract: 115402
40,117100,Census Tract: 117100
41,117200,Census Tract: 117200
42,117405,Census Tract: 117405
43,117406,Census Tract: 117406
44,117510,Census Tract: 117510
45,117520,Census Tract: 117520
46,117530,Census Tract: 117530
47,119000,Census Tract: 119000
48,119100,Census Tract: 119100
49,119200,Census Tract: 119200
50,119310,Census Tract: 119310
51,119320,Census Tract: 119320
52,119330,Census Tract: 119330
53,119340,Census Tract: 119340
54,119400,Census Tract: 119400
55,119700,Census Tract: 119700
56,119800,Census Tract: 119800
57,119900,Census Tract: 119900
58,120010,Census Tract: 120010
59,120020,Census Tract: 120020
60,120030,Census Tract: 120030
61,120101,Census Tract: 120101
62,120102,Census Tract: 120102
63,120300,Census Tract: 120300
64,120400,Census Tract: 120400
65,121010,Census Tract: 121010
66,121020,Census Tract: 121020
67,121100,Census Tract: 121100
68,121210,Census Tract: 121210
69,121220,Census Tract: 121220
70,121800,Census Tract: 121800
71,121900,Census Tract: 121900
72,122000,Census Tract: 122000
73,122110,Census Tract: 122110
74,122120,Census Tract: 122120
